TOTAL ASSETS,28471,0,28471,BP,2020,3
CASH (Notes & Coins),430,0,430,BP,2020,3
BALANCES WITH DEPOSITORY INSTITUTIONS,25338,0,25338,BP,2020,3
Demand Balances Due From:,25338,0,25338,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Depository Institutions Abroad,25338,0,25338,BP,2020,3
Head Office and Branches,25338,0,25338,BP,2020,3
Other Depository Institutions Abroad,0,0,0,BP,2020,3
Savings Balances Due From:,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Depository Institutions Abroad,0,0,0,BP,2020,3
Head Office and Branches,0,0,0,BP,2020,3
Other Depository Institutions Abroad,0,0,0,BP,2020,3
Time Balances Due From:,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Depository Institutions Abroad,0,0,0,BP,2020,3
Head Office and Branches,0,0,0,BP,2020,3
Other Depository Institutions Abroad,0,0,0,BP,2020,3
DEBT SECURITIES ISSUED BY,0,0,0,BP,2020,3
Trading,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Other Financial Corporations Domestic,0,0,0,BP,2020,3
Development Financing Corporations,0,0,0,BP,2020,3
Statutory Non-Bank Financial Corporations,0,0,0,BP,2020,3
Private Non-Bank Financial Corporations,0,0,0,BP,2020,3
Central Government,0,0,0,BP,2020,3
Local Governments,0,0,0,BP,2020,3
State,0,0,0,BP,2020,3
Municipal,0,0,0,BP,2020,3
Statutory Non-financial Corporations Domestic,0,0,0,BP,2020,3
Private Non-financial Corporations Domestic,0,0,0,BP,2020,3
Non-residents,0,0,0,BP,2020,3
Other Than Trading,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Other Financial Corporations Domestic,0,0,0,BP,2020,3
Development Financing Corporations,0,0,0,BP,2020,3
Statutory Non-Bank Financial Corporations,0,0,0,BP,2020,3
Private Non-Bank Financial Corporations,0,0,0,BP,2020,3
Central Government,0,0,0,BP,2020,3
Local Governments,0,0,0,BP,2020,3
State,0,0,0,BP,2020,3
Municipal,0,0,0,BP,2020,3
Statutory Non-financial Corporations Domestic,0,0,0,BP,2020,3
Private Non-financial Corporations Domestic,0,0,0,BP,2020,3
Non-residents,0,0,0,BP,2020,3
LOANS AND ADVANCES,2597,0,2597,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Other Financial Corporations Domestic,0,0,0,BP,2020,3
Development Financing Corporations,0,0,0,BP,2020,3
Statutory Non-Bank Financial Corporations,0,0,0,BP,2020,3
Private Non-Bank Financial Corporations,0,0,0,BP,2020,3
Central Government,0,0,0,BP,2020,3
Local Governments,0,0,0,BP,2020,3
State,0,0,0,BP,2020,3
Municipal,0,0,0,BP,2020,3
Statutory Non-financial Corporations Domestic,0,0,0,BP,2020,3
Private Sector Domestic,2597,0,2597,BP,2020,3
Non-financial Corporations,0,0,0,BP,2020,3
Individuals,2597,0,2597,BP,2020,3
Non-profit Institutions Serving Households,0,0,0,BP,2020,3
Non-residents,0,0,0,BP,2020,3
INTERBANK FUNDS SOLD,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Other Financial Corporations Domestic,0,0,0,BP,2020,3
Development Financing Corporations,0,0,0,BP,2020,3
Statutory Non-Bank Financial Corporations,0,0,0,BP,2020,3
Private Non-Bank Financial Corporations,0,0,0,BP,2020,3
Depository Institutions Abroad,0,0,0,BP,2020,3
Head Office and Branches,0,0,0,BP,2020,3
Other Depository Institutions,0,0,0,BP,2020,3
SECURITIES PURCHASED UNDER AGREEMENT TO SELL,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Other Financial Corporations Domestic,0,0,0,BP,2020,3
Development Financing Corporations,0,0,0,BP,2020,3
Statutory Non-Bank Financial Corporations,0,0,0,BP,2020,3
Private Non-Bank Financial Corporations,0,0,0,BP,2020,3
Depository Institutions Abroad,0,0,0,BP,2020,3
Head Office and Branches,0,0,0,BP,2020,3
Other Depository Institutions,0,0,0,BP,2020,3
ACCRUED INTEREST RECEIVABLE,13,0,13,BP,2020,3
Demand Balances Due From:,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Depository Institutions Abroad,0,0,0,BP,2020,3
Head Office and Branches,0,0,0,BP,2020,3
Other Depository Institutions,0,0,0,BP,2020,3
Savings Balances Due From:,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Depository Institutions Abroad,0,0,0,BP,2020,3
Head Office and Branches,0,0,0,BP,2020,3
Other Depository Institutions,0,0,0,BP,2020,3
Time Balances Due From:,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Depository Institutions Abroad,0,0,0,BP,2020,3
Head Office and Branches,0,0,0,BP,2020,3
Other Depository Institutions,0,0,0,BP,2020,3
Debt Securities,0,0,0,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Other Financial Corporations Domestic,0,0,0,BP,2020,3
Development Financing Corporations,0,0,0,BP,2020,3
Statutory Non-Bank Financial Corporations,0,0,0,BP,2020,3
Private Non-Bank Financial Corporations,0,0,0,BP,2020,3
Central Government,0,0,0,BP,2020,3
Local Governments,0,0,0,BP,2020,3
State,0,0,0,BP,2020,3
Municipal,0,0,0,BP,2020,3
Statutory Non-financial Corporations Domestic,0,0,0,BP,2020,3
Private Non-financial Corporations Domestic,0,0,0,BP,2020,3
Non-residents,0,0,0,BP,2020,3
Loans and Advances,13,0,13,BP,2020,3
Depository Institutions Domestic,0,0,0,BP,2020,3
Other Financial Corporations Domestic,0,0,0,BP,2020,3
Development Financing Corporations,0,0,0,BP,2020,3
Statutory Non-Bank Financial Corporations,0,0,0,BP,2020,3
Private Non-Bank Financial Corporations,0,0,0,BP,2020,3
Central Government,0,0,0,BP,2020,3
Local Governments,0,0,0,BP,2020,3
State,0,0,0,BP,2020,3
Municipal,0,0,0,BP,2020,3
Statutory Non-financial Corporations Domestic,0,0,0,BP,2020,3
Private Sector Domestic,13,0,13,BP,2020,3
Non-financial Corporations,0,0,0,BP,2020,3
Individual,13,0,13,BP,2020,3
Non-profit Institutions Serving Households,0,0,0,BP,2020,3
